NAME,INTERNAL REFERANCE,CATEGORY,TYPE,BARCODE,UOM,PURCHASE UOM,SALE PRICE,COST PRICE,WEIGHT,VOLUME
LACTOGEN NO.1             900g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.1          6x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.1          1x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2         2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2           6x400g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2           6x900g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2             900g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2          6x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2          1x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD  6x400g,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD  6x900g,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD    900g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                  2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                    6x400g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                    6x900g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                      900g,,All,Product,,Unit(s),Unit(s),,,,
KLIM                   6x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
KLIM                   1x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS          2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS            6x400g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS            6x900g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS              900g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS           6x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS           1x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD    2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD      6x400g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD      6x900g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD        900g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD     6x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD     1x1.8kg,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.2 BABY FOOD    2x6x400g,,All,Product,,Unit(s),Unit(s),,,,
